Timestamp,ReportingGroup,LocationName,Value,Unit
03/26/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,33,kWh
03/27/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,18,kWh
03/28/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,19,kWh
03/29/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,15,kWh
03/30/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,28,kWh
03/31/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
04/01/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,11,kWh
04/02/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,11,kWh
04/03/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,11,kWh
04/04/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,33,kWh
04/05/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,37,kWh
04/06/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,84,kWh
04/07/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,67,kWh
04/08/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,14,kWh
04/09/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,20,kWh
04/10/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,43,kWh
04/11/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,61,kWh
04/12/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,57,kWh
04/13/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,61,kWh
04/14/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
04/15/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,53,kWh
04/16/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,59,kWh
04/17/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,62,kWh
04/18/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,58,kWh
04/19/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
04/20/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,61,kWh
04/21/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
04/22/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
04/23/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,64,kWh
04/24/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,57,kWh
04/25/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,49,kWh
04/26/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,51,kWh
04/27/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,66,kWh
04/28/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
04/29/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,45,kWh
04/30/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,61,kWh
05/01/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
05/02/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,35,kWh
05/03/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,76,kWh
05/04/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,86,kWh
05/05/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,37,kWh
05/06/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,35,kWh
05/07/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,55,kWh
05/08/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,66,kWh
05/09/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,59,kWh
05/10/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,57,kWh
05/11/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,71,kWh
05/12/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,15,kWh
05/13/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,58,kWh
05/14/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,46,kWh
05/15/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,46,kWh
05/16/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,45,kWh
05/17/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,49,kWh
05/18/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,57,kWh
05/19/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,19,kWh
05/20/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,42,kWh
05/21/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,45,kWh
05/22/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,46,kWh
05/23/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,41,kWh
05/24/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,57,kWh
05/25/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,56,kWh
05/26/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,19,kWh
05/27/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,34,kWh
05/28/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,54,kWh
05/29/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,38,kWh
05/30/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
05/31/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,49,kWh
06/01/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,65,kWh
06/02/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,53,kWh
06/03/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,49,kWh
06/04/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,41,kWh
06/05/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,53,kWh
06/06/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,50,kWh
06/07/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,50,kWh
06/08/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,54,kWh
06/09/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,20,kWh
06/10/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,42,kWh
06/11/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,45,kWh
06/12/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,41,kWh
06/13/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,39,kWh
06/14/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,42,kWh
